Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Frankie Edwards,AFC Hornchurch,1153,Right Centre Back,Centre Back,England,20,0,59,14,0,69,23,9,0,0,80,79,98,22,89,99,39,56,1,25,46,98,5,40,69,21,53,100,0
Freddie Carter,Eastbourne Borough,1627,Left Centre Back,Right Centre Back,England,21,75,71,95,0,55,29,10,13,100,81,89,99,21,88,99,50,95,15,27,25,91,4,45,82,18,57,17,39
Fuad Sesay,Dover Athletic,1022,Left Back,,England,22,0,8,0,0,38,30,31,31,45,43,70,80,47,95,99,86,41,7,56,39,85,0,69,49,26,7,56,12
Gene Kennedy,Ebbsfleet United,1429,Right Defensive Midfielder,Left Defensive Midfielder,England,23,51,70,55,0,41,42,20,24,87,50,73,62,25,91,99,57,82,100,41,83,99,38,67,64,68,71,56,15
George Alexander,Eastbourne Borough,1028,Left Centre Forward,Right Centre Forward,England,25,59,85,39,0,31,40,50,48,36,33,21,32,20,38,18,8,8,100,53,78,99,4,18,21,40,84,69,16
George Birch,Weston-super-Mare AFC,308,Right Wing,Centre Attacking Midfielder,England,19,0,34,100,0,0,0,79,75,29,1,6,27,89,99,46,59,33,100,99,99,100,24,32,11,34,71,100,17
George Cox,Worthing FC,550,Left Wing Back,Left Back,England,28,0,53,17,84,92,58,20,17,29,33,45,54,28,68,43,44,48,100,42,76,99,9,48,61,73,73,40,44
George Fowler,Maidstone United,2243,Right Centre Back,Centre Back,England,28,0,43,84,0,12,10,0,0,0,76,83,95,7,30,99,25,91,20,7,16,88,11,32,81,17,60,100,0
George Francomb,Dorking Wanderers FC,651,Left Centre Back,Left Back,England,34,0,35,94,0,46,41,34,26,10,65,66,69,38,94,98,58,70,100,57,69,98,26,96,71,83,24,22,84
George Marsh,Dagenham & Redbridge,518,Left Defensive Midfielder,Right Defensive Midfielder,England,27,0,10,0,0,53,50,27,18,5,67,65,65,54,91,99,52,68,1,64,87,99,29,49,80,30,0,100,0
George Moncur,Ebbsfleet United,647,Centre Attacking Midfielder,Left Centre Midfielder,England,32,0,58,30,99,82,90,53,53,40,31,62,26,32,11,47,9,7,100,32,44,49,82,43,52,95,71,19,45
George Nikaj,Dover Athletic,2555,Right Wing,Right Midfielder,England,23,88,86,61,45,75,62,76,74,36,5,20,29,62,66,32,22,16,100,83,92,99,0,27,14,36,91,43,22
George Wilkinson,Dover Athletic,808,Left Centre Midfielder,Right Centre Midfielder,England,22,0,43,77,72,69,62,15,13,29,32,50,46,27,74,59,26,16,100,59,77,99,1,29,39,34,71,61,38
George Williams,Hemel Hempstead Town,1911,Right Wing,Left Wing,Wales,30,45,77,81,80,90,89,53,51,36,35,39,41,17,55,61,23,22,100,33,75,99,2,31,37,71,74,23,32
Georgio Rasulo,Chesham United FC,2057,Right Defensive Midfielder,Centre Defensive Midfielder,England,29,44,30,37,0,43,54,33,39,78,53,70,60,61,88,99,37,51,100,65,93,100,35,53,73,57,35,61,20
Giles Phillips,AFC Hornchurch,998,Left Back,Right Centre Back,USA,28,60,54,37,65,50,19,21,18,29,78,84,99,17,93,99,33,99,100,30,38,99,2,43,70,24,35,100,0
Giosue Bellagambi,Ebbsfleet United,439,Goalkeeper,,England,24,0,0,0,0,0,0,31,48,100,100,100,0,0,72,10,0,0,100,0,0,0,5,7,100,7,0,0,0
Gregory Roland Luer,Horsham FC,1593,Right Wing,Centre Forward,England,31,65,64,73,72,87,75,40,44,70,40,39,49,47,60,43,25,49,100,48,42,94,2,27,53,53,72,13,22
H.Sparks,Horsham FC,2262,Left Back,Left Wing Back,England,30,0,28,46,83,64,49,14,11,10,71,72,78,46,80,76,51,35,100,42,52,97,15,62,69,44,20,24,54
Hakeem Sandah,Farnborough,1431,Left Wing,Left Wing Back,England,21,68,58,21,55,67,77,95,95,47,6,7,26,53,89,37,57,32,100,60,63,99,25,32,20,41,59,29,31
Hamzad Kargbo,Maidstone United,405,Centre Forward,Left Centre Forward,England,24,98,98,94,91,82,62,33,37,70,19,31,39,46,41,29,9,61,100,70,85,98,0,46,4,45,94,100,100
Harrison Andrew Foulkes,Dorking Wanderers FC,2434,Goalkeeper,,England,25,0,0,0,45,34,10,0,0,0,100,100,0,3,81,14,0,0,22,6,0,0,37,20,100,6,0,100,0
Harrison Sodje,Dover Athletic,1763,Left Back,,England,22,47,13,37,50,36,45,62,75,83,51,65,76,58,94,96,81,37,100,67,79,99,2,85,61,37,8,28,54
Harry Alfie Beadle,Dover Athletic,1416,Left Centre Back,Right Centre Midfielder,England,23,0,30,12,0,30,35,11,10,29,76,79,98,13,79,99,29,97,12,19,43,99,1,16,59,16,50,5,81
Harry Gardner,Hampton & Richmond,2133,Right Defensive Midfielder,Right Centre Midfielder,England,25,68,38,39,84,79,80,51,54,54,31,57,56,82,96,88,65,50,100,84,96,100,3,44,44,34,22,41,29
Harry Gibbs,AFC Hornchurch,2660,Left Centre Back,Left Back,England,28,70,51,84,69,45,42,18,25,100,72,84,99,11,78,99,46,93,11,13,17,86,1,61,77,22,54,69,11
Harry Lee,Salisbury,825,Left Back,Right Wing Back,England,19,0,20,55,0,77,47,24,21,29,71,77,75,41,93,83,44,14,100,52,59,99,2,58,67,32,57,61,17
Harry Parsons,Chippenham Town,677,Centre Attacking Midfielder,Left Centre Forward,England,23,97,83,53,0,43,65,60,65,61,6,14,9,56,47,54,18,10,100,70,99,100,24,23,18,73,88,100,0
Harry Phipps,Eastbourne Borough,896,Centre Back,Left Centre Back,England,27,79,61,49,0,19,27,14,12,29,77,87,93,58,97,100,70,80,100,50,50,99,16,34,91,23,73,100,0
Harry Ransom,Worthing FC,2762,Centre Back,Left Centre Back,England,26,52,32,98,0,23,21,6,8,100,79,93,97,7,48,99,27,97,100,9,28,97,72,47,91,22,22,65,58
Harry Sidwell,Dagenham & Redbridge,1405,Centre Defensive Midfielder,Right Defensive Midfielder,England,19,0,28,80,0,35,63,25,28,76,47,79,57,70,91,91,46,49,100,80,86,99,52,48,60,37,13,31,79
Harry Thomas,Hampton & Richmond,1924,Right Centre Back,Left Centre Back,England,20,0,38,37,0,35,26,29,41,92,71,83,98,21,92,99,38,84,6,28,41,98,8,41,78,19,33,100,0
Harry Thomas Barbrook,Chelmsford City,2471,Left Back,Left Centre Back,England,21,55,40,81,0,44,52,31,37,75,43,73,81,27,88,96,45,84,100,41,68,99,12,44,60,34,43,21,75
Harry Tustin,Salisbury,807,Right Defensive Midfielder,Right Centre Midfielder,England,19,0,13,0,91,68,68,15,21,100,36,73,72,72,97,92,69,24,100,84,96,100,8,42,47,35,12,100,0
Harvey Broad,Dagenham & Redbridge,1187,Left Back,Left Wing Back,England,20,73,62,49,92,79,78,22,22,53,70,58,79,45,69,65,78,23,9,51,30,67,3,52,54,57,69,3,87
Harvey Lintott,Eastbourne Borough,1440,Right Wing Back,Right Back,England,23,0,18,17,55,34,38,29,28,40,56,72,65,14,20,50,28,64,100,27,29,67,0,60,58,40,35,4,29
Harvey Walker,Slough Town FC,1347,Left Wing Back,Left Back,England,24,53,36,77,0,80,77,71,68,31,4,27,50,54,89,66,45,15,100,62,63,99,0,69,15,32,12,2,29
Harvey Wiles-Richards,Bath City,2104,Goalkeeper,Centre Attacking Midfielder,England,24,0,0,0,0,0,0,7,8,100,100,100,0,5,68,18,0,0,100,3,0,0,0,13,100,6,0,100,0
Hayden Bullas,Enfield Town FC,2388,Right Centre Midfielder,Right Defensive Midfielder,England,20,55,62,19,0,61,65,43,58,89,43,54,43,64,93,88,44,22,100,82,88,99,21,47,45,60,58,36,75
Hayden Muller,Salisbury,629,Left Centre Back,Right Centre Back,England,24,0,9,0,0,0,0,0,0,0,71,73,89,14,83,97,50,84,100,15,26,95,41,79,82,30,11,0,0
Henry Hawkins,Enfield Town FC,1944,Left Centre Back,Centre Back,England,22,70,52,38,49,34,26,12,15,100,92,92,99,19,89,95,36,72,100,22,24,73,2,21,85,13,62,61,58
Henry Hearn,AFC Hornchurch,1404,Centre Forward,Left Centre Forward,England,21,96,99,96,94,67,51,50,45,29,13,24,11,32,56,3,15,24,100,65,83,99,13,5,13,30,98,100,29
Henry Ochieng,Slough Town FC,877,Right Defensive Midfielder,Left Defensive Midfielder,Kenya,27,0,21,0,0,13,28,31,35,70,58,66,49,39,95,94,63,29,5,43,57,99,31,39,57,27,9,100,0
Henry Sady,Chippenham Town,945,Right Midfielder,Left Midfielder,England,18,78,67,80,0,68,55,47,51,61,26,37,22,46,81,22,18,3,100,79,93,99,18,40,38,60,66,100,0
Henry Sandat,AFC Hornchurch,1018,Left Wing,Centre Attacking Midfielder,England,21,85,94,49,86,73,71,66,42,3,2,23,44,71,83,46,56,3,100,73,67,99,10,34,24,52,86,64,74
Hisham Kasimu,AFC Totton,352,Left Wing,Left Centre Forward,France,28,96,96,96,0,57,80,54,57,53,26,25,13,44,89,20,36,6,100,83,97,100,4,1,9,30,95,100,100
Hubert Graczyk,Enfield Town FC,399,Goalkeeper,,England,23,0,0,0,0,7,23,0,0,0,100,100,0,6,98,7,0,0,100,6,0,0,0,11,100,6,0,0,0
I.Williams,Hemel Hempstead Town,1111,Centre Attacking Midfielder,Right Defensive Midfielder,England,23,89,83,79,62,79,67,70,73,54,4,11,19,75,95,54,45,11,100,92,99,100,2,27,13,43,80,100,29
Isaac James Millar Pitblado,Eastbourne Borough,1276,Left Back,Left Wing Back,Scotland,24,54,23,17,79,90,82,24,26,70,58,80,78,37,79,67,49,47,100,52,69,99,1,62,63,48,19,53,27
Isaac Philpot,Horsham FC,1808,Left Centre Back,Right Centre Back,England,31,0,10,0,0,19,21,19,23,89,77,85,96,8,55,83,29,56,100,12,14,42,72,25,81,19,15,56,95
J.Alves,Bath City,1056,Right Midfielder,Right Wing,England,26,58,61,46,0,64,55,72,65,20,10,28,54,36,77,47,21,68,100,52,45,99,2,26,22,37,59,100,15
J.Bartolo,Chesham United FC,305,Centre Forward,Right Centre Forward,Gibraltar,20,87,99,55,0,37,27,84,93,84,1,4,15,70,89,2,45,0,100,99,99,100,51,17,2,21,79,100,0
J.Brivio,Horsham FC,2101,Left Centre Back,Right Centre Back,England,33,44,45,97,0,29,32,24,30,87,69,73,93,27,82,96,26,56,100,19,36,96,57,36,81,22,27,100,0
J.Gilbert,Maidstone United,2099,Centre Attacking Midfielder,Right Wing Back,England,25,84,91,77,63,87,84,38,39,46,24,34,38,92,98,40,50,13,100,97,99,100,2,28,31,72,82,21,39
J.Hedges,Salisbury,1789,Left Wing,Right Wing,England,22,84,84,77,69,96,99,83,86,58,2,17,32,23,64,43,12,16,17,57,82,99,0,60,28,62,80,53,55
J.Hicks,Weston-super-Mare AFC,813,Right Defensive Midfielder,Centre Attacking Midfielder,England,20,0,61,12,72,73,48,45,57,84,17,50,65,68,96,90,62,28,100,83,99,100,18,41,37,47,49,100,58
J.Keeya,Salisbury,2449,Left Defensive Midfielder,Right Centre Midfielder,Republic of Ireland,22,64,54,49,0,55,60,68,76,72,12,35,66,54,92,97,64,41,22,67,94,100,39,68,45,62,42,50,58
J.Poffley,Chippenham Town,716,Left Centre Back,Right Centre Back,England,20,68,65,94,0,0,0,17,24,100,87,90,89,16,37,70,23,77,100,18,44,43,69,3,100,6,26,0,0
J.Sommerton,Salisbury,2326,Left Back,Left Centre Back,England,25,42,47,66,46,54,50,48,50,54,50,68,85,16,79,98,51,81,21,24,32,92,29,55,69,43,32,16,93
J.White,Hemel Hempstead Town,2299,Left Defensive Midfielder,Centre Attacking Midfielder,England,27,73,65,53,83,52,46,27,36,89,33,66,57,25,63,99,32,45,100,37,84,99,15,37,53,59,58,69,58
Jack Anthony Turner,Farnborough,2580,Goalkeeper,,England,33,0,0,0,0,0,0,0,0,0,92,94,6,4,95,31,0,100,100,1,0,0,0,42,92,9,0,100,0
Jack Barham,Chelmsford City,1018,Centre Forward,Left Wing,England,30,59,82,63,0,52,57,41,42,53,30,28,47,19,16,21,36,50,100,27,33,77,0,16,21,35,73,21,21
Jack Bateson,Hemel Hempstead Town,1630,Right Centre Back,Left Centre Back,England,21,0,37,55,52,35,26,0,0,0,88,86,91,17,62,99,29,90,100,19,29,95,5,28,88,16,53,100,0
Jack Batten,Bath City,2177,Right Centre Back,Left Centre Back,England,30,0,25,86,47,29,29,13,8,2,92,79,99,19,74,99,51,89,100,17,23,95,9,10,76,8,50,100,0
Jack Jones,Hemel Hempstead Town,330,Right Centre Midfielder,Right Wing,England,19,0,49,17,0,84,98,76,91,91,42,52,14,34,95,94,46,7,100,46,83,100,4,61,48,74,46,69,20
Jack Spong,Worthing FC,2441,Right Defensive Midfielder,Right Centre Midfielder,England,24,81,67,55,59,92,89,41,34,17,13,45,52,43,93,98,55,25,22,61,98,100,33,66,59,82,62,46,87
Jack Strange,Horsham FC,1233,Right Centre Back,Left Centre Back,England,28,0,16,100,0,0,0,0,0,0,86,92,99,7,39,97,61,94,100,7,12,51,24,17,88,11,20,0,0
Jack Young,Farnborough,988,Right Defensive Midfielder,Left Defensive Midfielder,England,25,0,17,14,0,22,36,13,19,100,57,71,61,82,99,98,46,66,100,84,97,100,56,71,71,61,13,40,93
Jack Young,Dorking Wanderers FC,446,Centre Attacking Midfielder,Right Centre Midfielder,England,25,0,42,0,98,81,78,14,20,100,54,46,48,62,99,99,30,43,100,78,98,100,49,97,68,86,48,50,58
Jacob Adams,Tonbridge Angels FC,1543,Goalkeeper,,England,25,0,0,0,0,10,9,10,13,100,100,100,0,0,91,17,0,0,14,4,6,0,5,19,100,7,0,100,0
Jacob Borgnis,Slough Town FC,1014,Right Defensive Midfielder,Left Defensive Midfielder,New Zealand,21,0,43,0,0,22,35,17,18,70,54,77,59,85,99,99,67,58,100,85,85,99,14,88,56,59,37,61,93
Jacob Cane,Weston-super-Mare AFC,1252,Right Defensive Midfielder,Left Defensive Midfielder,England,32,54,58,26,90,77,68,30,36,82,57,61,58,77,95,99,89,52,100,75,92,99,45,38,63,49,43,68,93
Jacob Knightbridge,AFC Totton,599,Goalkeeper,,England,22,0,0,0,0,0,0,0,0,0,100,100,9,0,90,5,0,0,100,5,0,0,5,6,100,3,0,0,0
Jacob Mensah,Dover Athletic,1902,Left Centre Back,Right Back,Ghana,25,45,39,94,0,7,12,14,16,82,92,90,98,20,86,100,34,94,18,29,22,67,3,15,86,9,21,100,0
Jaiden Drakes–Thomas,Slough Town FC,1281,Right Defensive Midfielder,Centre Attacking Midfielder,England,21,80,79,42,90,92,90,72,70,35,15,19,53,32,86,83,50,19,100,59,77,99,8,76,29,80,73,62,38
Jake Elliott,Horsham FC,1540,Right Centre Back,Left Centre Back,England,27,0,28,37,73,43,27,21,27,89,80,85,99,13,70,95,53,88,100,17,28,90,38,20,83,13,49,40,38
Jake Evans,Chippenham Town,1115,Right Defensive Midfielder,Left Defensive Midfielder,England,28,57,24,11,0,37,37,16,17,70,54,64,67,47,88,78,39,57,100,71,95,99,35,33,61,48,28,28,29
Jake Gray,Hemel Hempstead Town,944,Left Wing,Left Midfielder,England,30,0,41,66,67,72,71,44,33,10,56,38,49,35,76,87,38,19,100,43,59,99,2,34,27,73,62,43,56
Jake Hessenthaler,Ebbsfleet United,2409,Left Defensive Midfielder,Right Defensive Midfielder,England,32,55,38,49,45,35,27,19,13,7,70,74,68,62,88,99,59,63,22,63,85,99,47,65,77,66,54,42,69
Jake Tabor,Bath City,551,Left Centre Forward,Right Centre Forward,England,22,74,90,25,0,76,47,75,79,56,4,12,16,72,95,30,26,11,100,99,99,100,2,18,6,46,91,5,82
Jalen Anthony Jones,Dover Athletic,2822,Right Centre Back,Centre Back,Guyana,27,61,40,80,55,37,20,11,14,100,83,86,99,11,55,99,31,97,25,13,20,84,5,21,77,14,58,100,17
James Dodd,Weston-super-Mare AFC,1422,Left Defensive Midfielder,Left Centre Midfielder,England,25,0,52,66,0,31,50,25,32,90,65,63,63,46,93,83,49,61,100,52,77,99,44,47,73,59,36,100,0
James Hammond,Horsham FC,2883,Left Defensive Midfielder,Left Centre Midfielder,England,29,84,53,63,66,68,76,28,36,88,65,71,72,34,81,98,27,45,100,44,73,99,23,62,71,57,45,65,16
James Hamon,Torquay United,2814,Goalkeeper,,International,30,0,0,0,43,19,15,8,10,100,100,93,0,3,75,13,0,0,25,3,0,0,4,15,100,6,0,100,0
James McShane,Dorking Wanderers FC,1484,Right Centre Midfielder,Left Centre Midfielder,England,35,50,79,31,74,56,52,35,43,82,42,57,18,69,93,81,39,27,100,76,99,100,11,45,53,49,75,73,58
James Roberts,Horsham FC,538,Left Wing,Centre Forward,England,29,75,68,99,84,19,38,27,17,5,27,33,16,13,12,22,21,49,100,44,44,83,4,27,29,64,50,100,0
James Waite,Weston-super-Mare AFC,680,Centre Attacking Midfielder,Right Wing,Wales,27,69,58,77,95,75,77,67,70,56,12,41,9,40,58,32,64,16,100,48,78,97,26,16,41,80,72,72,79
James William Holden,Hampton & Richmond,1312,Goalkeeper,,England,24,0,0,0,0,11,9,0,0,0,100,100,0,6,96,6,0,0,100,2,0,0,0,15,100,7,0,0,0
Jamie Fielding,Ebbsfleet United,452,Right Centre Back,,England,26,0,61,0,0,61,44,38,34,29,100,61,99,7,26,98,13,99,100,10,19,70,2,63,73,46,62,40,93
Jamie Spencer Searle,Eastbourne Borough,396,Goalkeeper,,New Zealand,25,0,0,0,0,0,0,0,0,0,100,100,0,0,96,14,0,0,100,0,0,0,0,43,100,9,0,100,0
Jared Myers,Slough Town FC,1738,Right Wing,Right Midfielder,England,,84,78,52,69,74,73,81,85,61,9,24,24,36,66,31,22,3,100,66,87,99,1,26,17,40,72,12,40
Jason Christopher Prior,Dorking Wanderers FC,1905,Right Centre Forward,Left Centre Forward,England,37,82,84,50,87,84,68,22,12,2,24,34,65,11,46,28,11,72,100,30,68,98,2,25,21,65,97,65,82
Jason Pope,Weston-super-Mare AFC,1303,Left Back,Left Centre Back,England,30,0,11,94,0,66,37,23,26,70,56,78,76,33,82,96,52,97,100,30,20,87,16,71,75,36,14,19,25
Jay Foulston,Torquay United,2757,Left Back,Left Wing Back,Wales,25,0,15,29,44,32,32,21,20,38,70,73,75,26,80,89,48,56,100,35,56,98,26,88,74,73,25,29,50
Jayden Bennetts,Chesham United FC,895,Left Defensive Midfielder,Left Centre Midfielder,England,24,62,79,55,0,66,78,55,47,18,30,42,61,44,95,89,56,42,5,64,88,100,15,71,36,69,69,40,49
Jayden Davis,Eastbourne Borough,638,Left Wing Back,Right Centre Midfielder,England,24,86,69,55,0,47,51,66,61,29,18,21,50,33,84,70,49,9,100,43,74,99,5,50,28,44,80,12,32
Jayden Mitchell-Lawson,Maidenhead United,1282,Right Wing Back,Right Wing,England,26,71,71,64,79,82,74,37,44,78,15,43,40,15,57,53,45,27,100,33,60,97,19,37,46,79,62,29,32
Jephte Tanga,Maidstone United,1979,Left Wing,Left Wing Back,England,21,70,71,94,92,92,75,32,43,90,16,49,40,56,94,57,39,3,100,85,94,100,6,20,30,60,73,28,40
Jermaine Anderson,Hemel Hempstead Town,301,Left Defensive Midfielder,Right Defensive Midfielder,England,30,0,0,0,0,29,44,30,27,29,38,42,74,45,92,75,38,46,100,49,92,100,21,51,28,38,0,100,0
Jesurun Uchegbulam,Eastbourne Borough,1110,Left Midfielder,Left Wing,Nigeria,25,0,53,46,62,91,92,90,91,49,1,25,26,18,53,51,12,25,100,50,89,99,10,23,15,62,75,36,58
Jesurun Uchegbulam,Chelmsford City,844,Left Wing,Right Wing,Nigeria,25,0,62,81,0,69,89,87,88,49,1,4,38,29,72,55,14,25,100,57,80,99,18,35,14,76,77,40,56
Jevani Brown,Hemel Hempstead Town,429,Right Wing,Right Midfielder,Jamaica,31,0,60,25,0,94,79,54,70,89,22,40,11,61,87,43,24,34,100,64,92,100,15,30,38,84,66,21,84
Jimmy Muitt,Dorking Wanderers FC,2012,Right Wing Back,Right Wing,England,30,76,82,39,78,85,74,70,73,50,10,29,54,36,83,86,57,38,100,52,73,99,2,44,33,59,76,12,45
Joe Cook,Worthing FC,2777,Right Centre Back,Left Centre Back,England,26,61,66,54,56,60,52,37,38,47,56,60,89,36,93,99,66,98,24,25,59,99,58,92,72,74,71,75,95
Joe Grimwood,Chelmsford City,1455,Right Centre Back,Left Centre Back,England,24,51,57,55,75,48,24,0,0,0,87,88,99,8,37,99,23,98,13,10,26,82,23,23,92,15,57,100,0
Joe Haigh,Dagenham & Redbridge,2320,Left Centre Midfielder,Centre Attacking Midfielder,England,23,73,84,54,88,93,91,83,81,34,5,19,23,82,90,72,49,29,100,92,90,99,18,78,26,68,74,72,44
Joe Oastler,AFC Totton,1896,Right Centre Back,Centre Back,England,35,61,54,87,0,0,0,0,0,0,86,88,98,14,60,91,46,95,100,13,16,67,33,33,91,17,45,100,0
Joe Raynes,Bath City,2388,Right Back,Right Wing Back,England,30,42,34,39,46,39,32,39,45,71,59,64,89,44,91,99,61,82,100,56,66,99,0,63,64,43,43,44,27
Joe Wright,Chelmsford City,398,Goalkeeper,,England,25,0,0,0,91,51,36,0,0,0,100,100,0,6,68,7,0,0,100,0,0,0,0,22,100,6,0,100,0
Joe Wright,Enfield Town FC,394,Goalkeeper,,England,33,0,0,0,0,0,0,0,0,0,100,100,0,6,97,0,0,0,100,6,0,0,0,18,100,5,0,0,0
Joel Colbran,Worthing FC,2143,Right Back,Right Wing Back,England,27,87,80,94,47,65,71,30,24,13,23,60,74,32,86,84,65,62,7,34,61,99,54,84,63,91,81,50,75
Joey Phuthi,Eastbourne Borough,324,Right Midfielder,Right Wing,Zimbabwe,21,0,42,0,0,0,0,97,94,29,1,21,0,16,36,49,55,19,100,38,84,88,0,25,17,32,53,0,16
John Goddard,Slough Town FC,1541,Left Wing,Centre Attacking Midfielder,England,32,76,75,53,85,93,92,51,46,29,26,37,29,14,41,47,11,5,100,31,64,99,6,49,35,70,68,44,74
John Oyenuga,Farnborough,531,Right Back,Right Wing Back,England,31,75,68,55,0,49,29,57,61,58,52,44,72,38,95,76,42,84,100,55,90,84,7,57,46,36,29,0,93
Jordan Dyer,Torquay United,2458,Right Centre Back,Centre Back,England,26,41,64,31,0,40,33,10,8,5,83,84,98,12,76,99,37,89,100,14,21,71,32,52,88,23,66,100,95
Jordan Higgs,Tonbridge Angels FC,1324,Right Defensive Midfielder,Centre Defensive Midfielder,England,29,0,38,42,78,52,45,36,43,78,59,70,81,28,49,97,38,99,100,27,68,99,45,38,71,41,33,64,17
Jordan Neil Greenidge,Slough Town FC,783,Centre Forward,Right Centre Forward,England,26,66,89,94,0,52,64,10,0,0,44,11,47,12,29,1,7,59,100,65,60,17,2,4,0,32,90,100,93
Jordan Ngalo,Salisbury,983,Right Defensive Midfielder,Left Defensive Midfielder,England,27,0,37,13,87,50,64,45,49,61,41,56,58,26,78,99,56,92,6,44,74,98,42,79,71,72,15,61,93
Jordan Norville-Williams,Dorking Wanderers FC,840,Left Centre Back,Left Back,England,26,0,10,0,0,28,28,71,88,91,38,57,83,19,87,100,73,95,4,28,33,99,11,84,65,39,34,40,17
Jordan Ragguette,Maidenhead United,1512,Left Back,Left Wing Back,St. Vincent and the Grenadines,25,0,19,37,74,76,69,50,39,12,58,56,83,40,88,88,45,66,100,36,49,99,2,89,52,57,18,12,57
Jordan Thomas,Torquay United,1981,Right Back,Right Wing Back,England,25,0,20,12,78,51,61,34,38,70,53,58,74,18,77,78,38,44,18,45,68,98,17,77,60,70,54,30,58
Jordan Thompson,Tonbridge Angels FC,392,Left Centre Back,Centre Back,England,27,0,0,0,0,38,23,0,0,0,70,100,98,7,3,86,7,88,100,7,6,0,2,4,100,6,40,100,0
Jordan Thompson,Hemel Hempstead Town,643,Right Centre Back,Left Centre Back,England,27,0,68,94,0,49,16,12,0,0,86,73,91,16,29,99,19,40,100,12,22,99,6,8,67,8,44,100,0
Jordan Tillson,Bath City,2409,Right Defensive Midfielder,Centre Defensive Midfielder,England,33,42,23,25,0,23,35,12,13,82,60,73,73,82,93,99,60,70,100,79,93,99,6,49,61,36,22,74,17
Jordan Young,Torquay United,2495,Right Wing,Right Midfielder,Scotland,26,96,91,83,94,93,91,80,80,41,6,26,19,21,62,57,28,18,22,46,80,99,11,63,28,82,87,45,39
Jordi van Stappershoef,Maidenhead United,2579,Goalkeeper,,Netherlands,30,0,0,0,0,0,0,6,8,100,100,100,0,2,45,8,0,0,23,2,0,0,0,20,100,6,0,100,0
Josh Castiglione,Chelmsford City,951,Left Centre Midfielder,Left Back,England,29,61,38,25,0,62,60,36,39,58,60,63,74,45,82,80,35,18,6,58,55,98,2,51,57,58,43,58,44
Josh Coley,Ebbsfleet United,1490,Left Centre Forward,Left Attacking Midfielder,England,27,67,89,64,74,54,63,75,78,53,9,27,33,66,87,40,17,8,100,90,92,99,30,27,19,80,94,67,42
Josh Hare,AFC Hornchurch,2195,Right Back,Right Centre Back,England,31,0,15,10,75,87,71,9,8,29,80,76,81,14,52,93,35,56,100,22,40,97,3,91,78,65,31,14,67
Josh Popoola,Maidenhead United,2108,Centre Attacking Midfielder,Right Wing,England,22,87,80,78,99,98,97,92,96,74,1,17,19,36,89,42,24,23,100,64,88,99,7,38,22,71,80,23,58
Josh Rees,AFC Hornchurch,2206,Right Defensive Midfielder,Right Centre Midfielder,England,32,74,91,47,84,59,55,23,26,74,35,62,50,55,95,98,57,46,100,61,90,100,12,30,37,40,80,72,84
Josh Taylor,Dorking Wanderers FC,1749,Right Centre Midfielder,Right Defensive Midfielder,England,31,63,36,64,51,53,67,46,54,74,32,52,42,39,84,97,39,78,16,45,85,100,20,76,55,73,62,24,52
Josh Umerah,Maidenhead United,1796,Right Centre Forward,Centre Forward,England,29,90,89,80,50,50,47,45,24,2,9,6,15,15,78,1,8,24,100,52,77,99,10,9,8,43,90,100,0
Joshua Addae,Chesham United FC,2053,Right Wing Back,Right Back,England,23,0,38,26,48,52,30,42,45,56,21,45,61,60,87,55,44,49,100,58,56,98,2,45,31,36,48,19,16
Joshua Adepoju,Slough Town FC,382,Centre Attacking Midfielder,Left Centre Midfielder,England,,0,69,55,92,84,76,65,66,45,2,25,22,69,97,90,19,19,100,87,99,100,2,50,27,58,53,61,17
Joshua Anifowose,Eastbourne Borough,1593,Left Wing Back,Right Wing Back,England,24,49,68,83,96,90,79,92,91,43,1,7,28,46,96,89,45,14,100,81,99,100,4,58,13,72,71,16,53
Joshua Jeffries,Worthing FC,1908,Goalkeeper,,England,20,0,15,100,0,12,8,7,8,100,100,100,0,4,79,2,0,100,2,4,6,10,23,0,100,1,7,0,0
Joshua Passley,Ebbsfleet United,1419,Right Centre Back,Right Wing Back,England,31,0,40,25,55,54,58,20,14,10,65,73,77,14,84,86,40,98,100,28,55,99,30,92,72,82,59,51,53
Jude Mason,Hampton & Richmond,757,Left Back,Left Wing Back,England,25,0,10,0,0,16,30,16,0,0,74,72,74,10,45,64,35,88,100,19,30,95,5,48,64,39,13,61,58
Junior Dixon,Hampton & Richmond,548,Centre Forward,Right Centre Forward,England,21,0,83,49,0,41,48,69,79,78,1,3,10,22,68,18,7,7,100,79,98,100,36,18,3,45,85,100,93
Junior Morias,AFC Hornchurch,379,Left Centre Forward,Left Wing,Jamaica,30,0,72,97,92,99,93,35,54,100,16,36,0,7,48,43,7,16,100,43,66,99,9,19,16,48,77,50,25
Kai Corbett,Chelmsford City,429,Left Wing,Left Midfielder,England,23,80,71,39,90,87,93,85,88,56,3,33,44,9,2,29,24,36,100,25,50,0,2,51,21,49,80,34,29
