Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length
Brayden Daniel,Oxford City,338,Right Wing,Right Midfielder,England,19,,0,0,0.51,0.17,3,0,33,2,,0.36,1,0.62,4,1,0.62,4,0,0,0,1,1.13,7,-0.13,5,4,1,80,3,0,8,7,3,2.16,5,3.69,84,43,0,20,43.58,9,30,9,12,75,6.2,8.36,6,50,3,14,1,0,69,62.6,18,24,3,46.54,27,39,18,75,1,0,0,87,63,1,85,14,6,6,26,57,-7,52.39,5,0.62,1.54,82,88,6.4,21,1,1,0,2,8,9,0,0,0,0,2,21,59,20,29,48,24,16.09,13.54,0.87,93,-2.55,14.05,12.63
Brendan Kiernan,Hampton & Richmond,654,Left Centre Forward,Centre Attacking Midfielder,England,33,175,2,2,1.94,0.13,15,13,40,3,,1.95,0,0.29,4,0,0.29,4,0,0,0,2,2.23,19,-0.23,13,8,5,62,5,0,10,33,4,3.4,2,1.8,107,20,0,30,58.65,37,55,3,7,75,2.46,5.86,7,0,1,32,6,0,97,90.97,27,31,11,61.44,68,70,26,84,0,0,0,155,66,4,37,50,4,6,31,58,-8,63.35,15,2.9,3.13,156,82,5.36,57,4,4,0,4,33,37,0,25,1,11,6,16,63,20,19,61,19,14.3,12.62,0.9,95,-1.68,12.86,11.99
Brennan Camp,Dorking Wanderers FC,2774,Right Centre Back,Right Back,Scotland,25,185,6,6,5.24,0.15,36,17,56,1,,7.86,4,3.21,23,4,3.21,23,0,0,0,10,8.45,59,1.55,13,7,6,54,37,0,29,27,44,57.41,124,152.44,447,177,0.05,186,33.97,122,444,65,109,77,79.72,137.14,56,41,19,59,91,2,329,405.84,127,87,30,39.18,104,32,51,59,8,0,0,1252,68,125,7,45,147,252,13,55,-13,43.98,160,13.91,17.86,854,96,5.18,212,33,27,6,5,86,113,1,36,16,32,11,45,47,7,39,46,15,23.29,18.84,0.92,97,-4.46,21.51,18.36
Brian Nelson,Slough Town FC,739,Left Defensive Midfielder,Right Defensive Midfielder,England,,,0,0,0.09,0.03,3,0,0,1,,0,0,0.63,4,0,0.63,4,0,0,0,0,0.72,7,-0.72,5,3,2,60,5,0,6,12,15,9.45,15,11.62,199,94,0.03,64,41.48,67,141,22,37,79,17.64,27.09,16,38,6,32,7,0,161,131.79,53,54,18,44.4,69,43,40,74,1,0,0,244,64,7,19,23,20,26,20,60,-3,48.8,15,1.9,2.13,147,95,4.18,41,6,6,0,1,4,10,2,17,1,25,0,36,57,7,34,63,2,20.96,17.48,0.88,85,-3.48,18.39,14.85
Brody Peart,Tonbridge Angels FC,1383,Right Wing,Right Attacking Midfielder,England,21,,5,5,2.36,0.09,27,19,48,3,,3.66,2,0.84,10,2,0.83,9,0,0.01,1,7,3.21,37,3.79,41,24,17,59,14,0,22,52,11,8.73,10,9.82,305,137,0.02,97,48.38,48,92,23,34,70,18.08,26.8,25,44,10,40,23,0,259,238.6,78,62,20,50.45,133,51,46,74,1,0,1,299,53,17,18,35,20,39,21,48,-5,61.85,38,4.18,5.8,298,85,7.14,80,12,12,0,3,29,41,0,58,10,27,5,25,59,16,25,57,18,20.76,20.95,0.91,83,0.19,18.94,17.29
Byron Wilson,Oxford City,346,Left Back,Right Centre Back,England,20,,0,0,0,,0,,,0,,0,0,0.04,1,0,0.04,1,0,0,0,0,0.04,1,-0.04,1,1,0,100,3,0,2,2,2,2,10,12.39,51,20,0.04,20,23.96,4,31,9,11,90,9.01,11.01,6,75,1,53,8,0,36,36.66,10,6,1,24.87,3,8,1,17,1,0,1,109,67,6,11,43,11,13,18,54,-13,44,7,0.74,0.78,83,98,3.06,12,0,0,0,0,0,0,0,,0,0,0,41,48,12,33,50,17,20.28,11.36,0.92,107,-8.92,18.6,12.11
C.Cook,Horsham FC,1613,Centre Attacking Midfielder,Right Centre Midfielder,England,26,182,4,4,5.93,0.17,35,11,46,3,,3.77,1,2.04,19,1,2.04,19,0,0,0,5,7.97,54,-2.97,31,16,15,52,32,0,48,62,17,15.65,18,17.26,520,242,0.01,167,50.14,109,184,55,72,73,53.02,68.67,37,20,20,43,44,0,428,414.4,120,115,33,51.64,212,50,81,70,7,0,0,497,67,32,17,51,29,52,27,65,-2,58.8,60,8.78,11.43,430,85,6.19,156,17,16,1,5,78,94,1,18,6,29,15,25,65,11,20,69,12,19.17,16.36,0.97,103,-2.81,18.68,16.91
Caden Kelly,South Shields,907,Left Midfielder,Left Wing,England,22,182,4,4,1.08,0.05,22,18,36,3,,1.79,1,1.47,15,1,0.83,11,0,0.64,4,5,2.55,37,2.45,26,15,11,58,6,0,23,34,6,9.68,7,10.63,140,65,0.01,39,50.24,27,55,15,21,68,24.24,33.92,7,33,7,38,3,0,118,188.23,30,32,11,53.41,71,60,28,88,1,0,0,277,65,32,12,44,14,66,17,71,6,61.17,33,2.75,3.61,286,86,7.13,88,16,8,8,3,28,36,1,19,5,20,7,11,66,23,16,52,32,23.57,18.82,0.87,92,-4.75,20.6,17.41
Cain Sykes,South Shields,2030,Right Back,Right Defensive Midfielder,England,23,178,1,1,0.49,0.06,8,13,63,0,,0.26,2,3.35,25,2,3.35,25,0,0,0,3,3.84,33,-0.84,7,5,2,71,10,0,15,10,16,24.6,64,97.66,196,79,0.03,94,34.16,79,196,26,42,76,39.45,64.06,10,54,8,53,35,0,160,247.11,65,45,13,39.05,46,29,22,49,2,0,0,1319,84,91,10,63,80,128,13,67,-17,50.15,156,15.32,16.6,1104,99,4.73,316,32,29,3,4,33,62,1,31,11,33,8,22,62,16,32,54,14,19.19,16.82,0.97,100,-2.37,18.52,16.74
Caine Bradbury,Chippenham Town,1796,Left Midfielder,Right Midfielder,England,25,175,3,3,2.62,0.1,27,11,48,1,,3.5,3,3.06,38,1,1.88,25,2,1.18,13,6,5.68,65,0.32,22,13,9,59,19,0,25,38,8,9.95,17,17.52,400,175,0.01,121,45.23,85,171,50,58,69,51.92,61.87,20,36,22,26,15,1,330,382.24,87,113,28,47.54,159,48,82,73,2,0,0,727,71,54,15,37,31,131,21,72,1,59.89,85,10.58,12.03,607,94,4.35,230,54,24,30,12,58,82,1,26,18,38,18,17,66,17,20,66,14,21.3,16.61,0.87,90,-4.69,18.46,14.87
Callum Adebiyi,Chesham United FC,2133,Left Centre Back,Left Back,England,32,191,4,4,2.2,0.1,21,19,33,0,,1.58,0,0.15,3,0,0.15,3,0,0,0,4,2.35,24,1.65,3,2,1,67,18,0,14,11,16,16.31,146,155.46,247,122,0.05,138,25.6,49,314,23,39,79,25.44,41.75,19,58,6,66,96,0,205,212.69,81,45,15,31.49,44,21,23,51,6,0,1,986,69,85,75,38,183,189,14,57,-12,37.35,98,7.95,8.81,676,98,5.02,104,8,6,2,2,54,60,0,0,1,13,5,44,53,3,48,47,5,24.6,25.56,0.87,84,0.96,21.36,21.52
Callum Dolan,Torquay United,855,Left Wing,Left Defensive Midfielder,England,25,,3,2,1.55,0.05,33,6,27,5,100,1.49,3,1.85,14,3,1.72,13,0,0.14,1,5,3.4,47,1.6,34,21,13,62,21,1,28,32,5,5.21,12,15.88,173,82,0.03,57,47.36,43,74,15,20,63,18.81,24.02,13,33,9,37,11,1,145,166.87,48,34,12,50.19,71,49,27,79,3,0,0,288,67,17,16,40,17,38,23,54,-13,60.85,35,3.74,5.27,329,86,7.54,100,13,10,3,3,36,46,1,46,8,24,1,23,62,15,23,61,16,20.52,17.95,0.9,96,-2.58,18.46,17.19
Callum Ebanks,Buxton,482,Centre Forward,Right Centre Forward,England,23,186,0,0,1.32,0.13,10,0,20,5,,0.76,1,0.78,5,1,0.78,5,0,0,0,1,2.1,15,-1.1,2,0,2,0,1,0,12,15,1,1.54,7,9.23,87,29,0,17,60.67,8,12,1,2,100,1.4,2.94,10,,0,52,14,0,76,99.77,16,20,8,65.01,62,82,20,100,1,0,0,71,63,2,19,29,11,3,47,60,-3,65.55,5,1.11,3.08,66,70,4.6,26,0,0,0,2,29,29,0,,2,40,4,13,68,19,12,69,19,18.11,15.43,0.97,98,-2.68,17.6,15.04
Callum Ebanks,Bedford Town,803,Right Centre Forward,Left Centre Forward,England,23,186,3,3,2.84,0.16,18,17,44,5,,2.12,0,0.22,7,0,0.22,7,0,0,0,3,3.06,25,-0.06,5,3,2,60,5,0,14,32,2,0.7,7,2.46,140,51,0.01,31,59.06,31,50,3,5,50,1.99,2.69,15,0,3,43,36,0,122,64.46,29,24,9,62.71,89,73,20,83,2,0,0,151,52,3,12,33,12,4,46,51,-1,67.18,16,1.23,3.77,127,76,5.93,47,5,5,0,0,41,46,0,0,0,0,6,23,68,9,15,72,13,16.24,16.98,0.96,98,0.74,15.55,16.6
Callum Edwards,Southport,989,Right Back,Left Midfielder,England,19,,0,0,0.49,0.05,10,0,50,1,,0.61,0,0.23,8,0,0.23,8,0,0,0,0,0.72,18,-0.72,10,4,6,40,2,0,12,16,2,2.74,44,46.65,142,57,0.02,57,30.23,26,115,23,25,64,22.88,25.62,5,33,13,59,10,1,114,135.75,40,26,6,34.53,29,25,12,46,2,1,0,407,67,29,8,27,59,92,15,62,-6,53.61,67,2.7,3.05,351,95,6.17,121,9,6,3,1,11,17,0,22,2,12,3,40,50,10,36,54,11,24.28,24.13,0.79,83,-0.14,19.19,20.13
Callum McFadzean,Radcliffe,1641,Left Centre Back,Left Wing Back,Scotland,32,181,0,0,0.22,0.07,3,0,33,0,,0.85,1,0.73,12,1,0.47,8,0,0.26,4,1,0.95,15,0.05,6,4,2,67,15,1,13,15,22,22.02,62,55.99,233,112,0.09,115,29.94,53,204,34,56,67,34.74,56.76,22,52,17,62,39,0,179,181.16,72,49,16,35.39,48,27,25,51,4,0,0,556,66,60,80,38,81,138,15,52,-13,49,77,4.17,4.58,387,96,5.04,109,14,8,6,3,15,23,0,21,3,20,4,44,52,5,50,43,6,25.23,21.93,0.85,100,-3.3,21.44,21.96
Callum McFarlane,Oxford City,336,Centre Attacking Midfielder,Centre Forward,England,22,185,0,0,0.89,0.13,7,0,29,3,,0.49,0,0.14,2,0,0.14,2,0,0,0,0,1.03,9,-1.03,5,4,1,80,2,0,1,11,1,0.86,0,0,104,27,0.03,23,60.85,6,15,4,5,67,3.62,4.48,4,0,2,41,21,0,98,100.52,21,33,10,62.58,71,72,28,85,1,0,0,106,66,3,38,100,1,2,38,65,-1,58.69,8,0.59,1.43,79,90,2.87,34,3,3,0,1,18,21,0,0,0,,1,17,57,26,12,50,38,14.51,13.78,1.05,115,-0.73,15.27,15.9
Callum Ryan-Phillips,Merthyr Town FC,3145,Left Centre Back,Right Centre Back,Wales,22,,1,1,0.54,0.09,6,17,17,0,,0.08,0,0.69,8,0,0.69,8,0,0,0,1,1.23,14,-0.23,11,10,1,91,35,0,11,6,20,27.74,182,228.07,310,132,0.08,175,21.67,37,377,37,57,70,47.7,75.44,20,36,16,53,82,0,253,325.59,103,58,20,27.6,31,12,13,22,3,0,0,1918,89,93,15,57,194,151,12,71,-18,31,88,14.8,15.17,1580,99,6.32,112,5,5,0,5,24,29,0,0,0,0,6,24,71,4,32,59,9,20.73,17.58,0.96,96,-3.16,19.93,16.91
Callum Tripp,Bedford Town,541,Right Back,Right Defensive Midfielder,England,19,190,1,1,0.2,0.07,3,33,33,1,,0.76,1,0.41,2,1,0.41,2,0,0,0,2,0.61,5,1.39,6,6,0,100,1,0,4,6,14,5.86,18,6.61,105,50,0.01,36,35.47,32,78,17,31,65,8.48,14.33,2,40,9,73,11,0,86,37.05,20,15,1,37.94,26,30,11,73,0,0,0,154,65,6,13,30,19,19,13,65,1,51.69,18,1.29,1.74,107,93,5.78,35,1,1,0,2,6,7,1,0,1,14,2,33,58,9,29,60,11,19.85,13.37,0.87,122,-6.48,17.21,16.3
Callum Wood,Chippenham Town,675,Left Centre Back,Centre Back,Wales,23,,1,1,0.76,0.19,4,25,50,0,,0.98,0,0.57,3,0,0.57,3,0,0,0,1,1.33,7,-0.33,2,2,0,100,4,0,3,0,6,3.83,39,34.94,51,21,0.09,31,23.1,10,97,7,13,88,6.75,10.59,4,0,1,67,20,1,42,35.25,21,9,3,28.75,5,12,3,33,2,0,0,346,76,33,97,43,44,72,9,63,-14,34.81,28,2.96,3.03,265,100,5.96,26,3,2,1,1,8,10,1,0,0,,1,37,60,3,77,19,4,25.64,19.72,0.88,78,-5.92,22.52,15.32
Callum Wood,Weston-super-Mare AFC,1217,Left Centre Back,Left Back,Wales,23,,0,0,0.33,0.11,3,0,0,0,,0,0,0.2,3,0,0.2,3,0,0,0,0,0.53,6,-0.53,8,7,1,88,7,0,8,3,30,22.18,73,68.44,125,53,0.03,66,26.09,27,168,22,52,85,17.25,39.43,6,50,4,63,38,2,97,83.06,39,18,5,28.83,17,18,8,44,3,1,0,451,65,41,87,38,84,98,14,54,-11,42.02,51,3.77,4.19,301,99,6.26,58,1,1,0,0,5,6,3,100,1,11,0,44,50,6,45,43,12,25.35,21.74,0.84,95,-3.61,21.3,20.55
Cameron Borthwick-Jackson,Macclesfield Town,403,Left Centre Back,Left Back,England,29,183,0,0,0.04,0.04,1,0,0,0,,0,0,0.06,3,0,0.06,3,0,0,0,0,0.1,4,-0.1,2,1,1,50,0,0,1,1,4,2.2,13,10.9,28,13,0.04,16,20.77,10,50,4,8,100,4.25,6.45,2,,0,57,13,0,23,27.15,9,5,1,25.63,2,9,1,20,1,0,0,151,79,24,85,60,14,39,12,86,7,42.67,16,2.86,2.87,102,98,5.43,22,3,3,0,0,2,5,0,33,2,40,0,30,68,3,9,86,5,26.35,17.13,0.91,93,-9.23,24.03,15.96
Cameron Salkeld,Spennymoor Town,813,Right Wing,Right Wing Back,England,27,183,2,2,1.71,0.11,15,13,33,2,,1.45,1,1.42,11,1,1.42,11,0,0,0,3,3.13,26,-0.13,8,5,3,63,10,0,14,19,2,1.68,4,3.71,210,111,0.01,73,42.51,21,45,20,22,71,16.73,18.4,7,11,8,23,5,0,183,150.15,53,39,14,43.86,73,40,27,69,3,1,0,224,70,12,34,43,8,24,20,65,-5,62.21,26,3.72,5.02,210,91,5.55,82,11,11,0,4,42,53,1,45,7,29,6,19,59,21,10,63,27,18.98,17.93,0.93,98,-1.05,17.7,17.57
Camron Gbadebo,Eastbourne Borough,1330,Right Centre Back,Centre Back,England,23,192,0,0,1.33,0.15,9,0,22,0,,0.61,0,0.02,2,0,0.02,2,0,0,0,0,1.35,11,-1.35,8,7,1,88,11,0,11,6,33,34.45,131,140.75,193,81,0.07,76,25.33,41,236,35,68,95,39.98,74.42,10,60,2,62,63,0,148,170.58,48,34,11,29.28,23,16,14,41,1,0,0,609,73,57,11,48,150,99,14,65,-8,38.3,42,2.82,4.37,423,98,5.16,55,3,3,0,0,20,23,0,67,2,29,0,36,60,4,53,44,4,25.31,24.23,0.93,91,-1.08,23.41,21.96
Camron Gbadebo,Salisbury,1609,Left Centre Back,Right Centre Back,England,23,192,0,0,0.41,0.04,11,0,27,0,,0.41,0,0.57,3,0,0.57,3,0,0,0,0,0.99,14,-0.99,7,6,1,86,19,0,11,4,18,19.46,142,147.18,161,75,0.07,92,22.91,42,260,17,35,89,21.73,41.19,16,75,2,68,72,2,128,139.27,66,31,19,28.55,16,13,6,19,2,0,0,796,78,63,13,46,171,108,14,56,-22,36.7,57,4.28,4.33,629,99,6.33,69,2,2,0,2,21,23,3,0,1,100,2,31,65,4,49,51,0,24.1,24.98,0.9,81,0.88,21.73,20.16
Canice Carroll,Chippenham Town,1470,Left Centre Back,Right Centre Back,Republic of Ireland,27,182,2,2,1.49,0.11,13,15,54,0,,2.17,0,0.13,4,0,0.13,4,0,0,0,2,1.62,17,0.38,9,9,0,100,26,0,10,8,9,10.98,65,71.9,174,82,0.05,97,28.55,36,225,29,38,81,35.32,46.3,15,42,7,54,35,0,130,158.56,59,32,12,35.65,34,26,16,50,4,1,0,790,80,83,15,53,80,141,11,57,-23,34.47,51,7.34,8.05,623,99,4.95,66,8,8,0,0,26,34,0,13,2,33,0,35,61,4,48,50,2,24.94,23.55,0.91,97,-1.38,22.62,22.73
Carl Mensah,Bedford Town,528,Right Centre Back,Centre Back,England,30,,2,2,0.61,0.09,7,29,29,0,,0.95,1,0.01,1,1,0.01,1,0,0,0,3,0.62,8,2.38,2,2,0,100,5,1,1,2,3,1.48,38,24.13,57,25,0.05,32,18.65,14,69,8,11,89,3.3,4.78,7,67,1,79,30,0,42,21.28,18,4,2,21.97,4,10,2,50,2,1,0,125,53,12,12,36,38,33,21,52,-1,35.85,6,1.36,1.39,63,97,4.12,7,0,0,0,2,15,15,0,,0,,2,38,61,2,43,57,0,27.01,17.84,0.9,91,-9.17,24.44,16.23
Cawley Cox,Merthyr Town FC,1703,Right Centre Forward,Left Centre Forward,England,21,,8,8,7.81,0.17,47,17,47,5,,9.02,4,2.62,20,4,2.62,20,0,0,0,12,10.43,67,1.57,38,17,21,45,14,1,31,71,4,5.51,16,20.35,412,141,0.01,108,62.04,57,85,14,18,50,16.35,21.86,15,13,14,27,14,1,383,470.26,95,114,24,64.55,276,72,93,82,3,0,0,308,69,11,23,42,19,23,25,72,3,59.41,29,11.48,16.32,342,84,5.01,98,11,11,0,6,88,99,2,27,6,29,11,15,68,17,15,72,12,17.13,15.17,0.94,100,-1.95,16.11,15.16
Cedric Julien Main,Darlington,2384,Left Centre Forward,Right Centre Forward,Suriname,28,180,14,12,11.12,0.14,79,15,43,6,100,12.57,5,5.41,46,5,5.41,46,0,0,0,17,16.53,125,0.47,28,20,8,71,27,0,54,90,4,3.79,1,1.44,382,96,0.01,87,66.19,67,97,15,19,79,15.16,18.95,23,33,4,39,46,0,344,338.39,79,115,32,66.52,268,78,99,86,1,0,0,500,68,26,18,53,16,34,34,67,0,67.6,45,14.61,26.04,535,86,6.11,216,29,29,0,16,192,221,3,28,18,46,39,14,69,17,13,70,18,17.2,14.9,0.96,97,-2.3,16.45,14.47
Cedwyn Scott,South Shields,2438,Left Centre Forward,Centre Forward,England,27,178,16,16,12.09,0.17,71,23,39,5,,13.86,5,5.14,33,5,5.1,32,0,0.04,1,21,17.23,104,3.77,43,28,15,65,60,0,47,56,6,7.78,4,6.6,288,119,0.01,89,63.34,67,108,11,17,69,17.03,24.81,12,20,5,27,9,0,266,403.51,80,76,29,64.9,211,79,64,84,2,0,0,545,70,38,15,52,20,57,22,66,-3,59.02,94,14.04,26.56,593,92,5.4,194,23,22,1,11,154,176,7,17,4,22,19,24,60,16,27,59,13,18.99,17.81,0.96,98,-1.17,18.25,17.41
Chae Whitman-Brown,Worksop Town FC,678,Right Wing,Right Midfielder,England,,,0,0,0.85,0.11,8,0,50,3,,0.2,1,0.8,9,1,0.79,8,0,0.01,1,1,1.65,17,-0.65,5,2,3,40,4,0,20,21,2,1.24,0,0,123,49,0,44,58.39,29,46,10,12,59,10.05,11.3,5,13,7,21,4,0,108,101.82,35,27,8,59.41,68,63,24,89,2,0,0,137,58,10,13,53,5,14,30,58,0,67,16,2.17,3.16,116,83,7.91,51,10,9,1,2,24,33,0,60,9,35,5,18,61,21,12,63,25,20.78,18.39,0.97,118,-2.39,20.1,21.63
Charlee Adams,Chelmsford City,606,Right Defensive Midfielder,Left Defensive Midfielder,England,31,181,0,0,0.19,0.05,4,0,50,1,,0.16,0,0.24,7,0,0.12,4,0,0.12,3,0,0.43,11,-0.43,2,2,0,100,2,0,4,7,7,5.45,15,12.54,63,27,0.05,32,34.26,61,108,12,19,75,14.1,19.54,3,60,4,58,15,0,48,52,20,19,6,40.44,14,29,10,53,1,0,0,240,63,30,12,45,21,61,18,58,-5,49.66,36,2.05,2.15,149,95,4.38,47,5,1,4,0,0,1,0,20,2,20,0,36,57,7,47,49,4,25.34,19.74,0.9,96,-5.6,22.9,19.03
Charlee Adams,AFC Hornchurch,361,Centre Defensive Midfielder,Right Defensive Midfielder,England,31,181,0,0,0.24,0.04,6,0,50,2,,0.5,0,0.56,8,0,0.2,5,0,0.36,3,0,0.81,14,-0.81,1,1,0,100,2,0,2,2,6,4.25,10,7.49,39,20,0.02,12,36.1,33,53,3,9,33,1.48,5.73,4,0,6,67,4,0,32,26.83,9,9,5,42.94,10,31,5,56,0,0,0,119,56,18,8,39,15,41,14,57,1,53.47,22,1.55,1.83,74,96,4.17,32,5,2,3,1,6,8,0,20,3,43,0,39,50,10,41,56,3,28.35,27.4,0.89,83,-0.95,25.13,22.73
Charlie Carter,Dorking Wanderers FC,1288,Left Centre Midfielder,Left Defensive Midfielder,England,29,188,7,7,4.64,0.12,40,18,45,3,,7.19,1,0.74,8,1,0.74,8,0,0,0,8,5.38,48,2.62,33,16,17,48,16,0,35,47,7,9.58,25,35.7,237,89,0.02,85,51.72,69,113,19,26,66,25.59,35.17,22,43,10,55,36,0,196,269.59,65,69,33,56.38,116,59,54,78,3,0,0,450,72,35,9,65,33,46,22,67,-5,55.15,64,8.08,11.06,417,88,6.93,137,10,10,0,7,71,81,0,10,2,18,6,24,63,13,23,68,9,19.27,16.75,1,104,-2.52,19.3,17.44
Charlie Cooper,Hereford FC,333,Left Defensive Midfielder,Right Defensive Midfielder,England,29,175,0,0,0.17,0.02,8,0,0,1,,0,0,0.05,3,0,0.05,3,0,0,0,0,0.22,11,-0.22,1,1,0,100,8,0,7,2,1,0.32,2,0.64,64,34,0.05,24,42.77,30,49,5,6,63,3.24,3.56,4,33,3,0,0,0,55,34.52,17,14,5,42.76,19,35,4,29,0,0,0,152,77,8,7,28,4,27,20,82,5,46.63,17,0.72,0.75,116,96,4.48,23,1,1,0,0,1,2,0,0,0,0,0,26,63,11,39,52,9,22.26,16.77,0.84,97,-5.49,18.75,16.18
Charlie Cooper,Kidderminster Harriers,933,Left Defensive Midfielder,Centre Defensive Midfielder,England,29,175,2,2,0.43,0.03,13,15,15,1,,1.26,0,0.21,7,0,0.21,7,0,0,0,2,0.64,20,1.36,2,2,0,100,19,0,7,1,12,15.78,23,35.93,159,63,0.06,67,39.21,70,150,17,29,74,24.35,40.13,17,44,6,58,19,0,125,164.44,51,49,21,43.97,50,40,26,53,3,0,0,454,74,60,9,54,39,96,17,67,-8,47.87,51,4.56,4.71,329,99,4.24,88,6,6,0,1,5,11,1,0,0,0,3,25,67,8,24,70,6,24.55,21.04,0.9,83,-3.51,22.18,17.38
Charlie Cummins,Weston-super-Mare AFC,1465,Right Defensive Midfielder,Centre Defensive Midfielder,Republic of Ireland,20,188,2,2,2.6,0.13,20,10,40,2,,2.91,0,2.09,21,0,2.09,21,0,0,0,2,4.7,41,-2.7,18,12,6,67,22,0,23,20,8,6.81,23,23.24,434,193,0.02,138,44.5,106,200,48,56,74,43.52,50.33,25,42,17,54,30,0,362,317.58,107,104,36,46.8,149,41,69,66,3,0,0,588,74,29,15,45,41,47,26,72,-2,54.7,68,5.9,7.95,472,95,6.01,147,8,8,0,3,34,42,1,25,2,29,7,23,63,14,20,67,12,19.02,18.28,0.93,91,-0.74,17.78,16.64
Charlie Hickingbottom,Peterborough Sports FC,1193,Left Centre Back,Right Centre Back,England,21,,0,0,0.39,0.08,5,0,20,0,,0.2,0,0.53,3,0,0.53,3,0,0,0,0,0.91,8,-0.91,2,1,1,50,13,0,2,5,14,11.18,94,98.95,170,92,0.08,75,28.18,50,205,23,37,68,26.29,37.47,20,56,11,63,55,0,127,128.04,42,33,10,37.42,33,26,15,45,1,0,0,511,69,63,13,49,106,117,16,51,-18,39.07,42,6.35,6.91,324,99,5.51,55,6,5,1,1,15,20,0,17,1,33,5,31,64,5,27,69,4,26.63,23.7,0.91,97,-2.94,24.12,22.99
Charlie Jolley,Fylde,730,Centre Forward,Centre Attacking Midfielder,England,25,180,1,1,2.19,0.11,20,5,30,6,,2.22,0,0.02,1,0,0.02,1,0,0,0,1,2.21,21,-1.21,5,4,1,80,23,0,9,23,2,3.3,4,4.85,167,50,0,44,68.13,14,25,4,6,80,4.5,7.79,13,50,1,39,15,0,151,215.54,43,42,14,69.34,126,83,38,90,1,0,1,116,65,2,59,40,7,2,33,67,3,65.07,8,1.55,3.36,114,84,4.8,41,1,1,0,2,46,47,0,0,1,50,6,14,58,28,7,61,32,12.96,12.91,1.04,104,-0.05,13.46,13.42
Charlie Jolley,Marine,1171,Right Midfielder,Centre Forward,England,25,180,5,5,3.33,0.13,26,19,50,6,,4.27,0,1.44,8,0,1.44,8,0,0,0,5,4.76,34,0.24,14,9,5,64,21,1,35,49,3,1.59,12,9.12,199,81,0.01,75,52.03,47,79,10,13,63,7.54,9.13,13,33,6,30,18,0,177,137.27,61,48,19,56.97,107,60,42,88,2,0,0,212,50,10,76,29,17,30,29,43,-7,63.21,18,4.16,7.46,198,77,6.49,62,8,8,0,4,44,52,1,38,3,14,6,25,64,11,16,69,15,19.55,17.55,0.9,94,-2,17.55,16.48
Charlie Lennon,Darlington,1199,Left Wing Back,Left Midfielder,England,20,,2,2,2.96,0.11,27,7,41,3,,2.72,7,3.48,32,6,2.78,27,1,0.69,5,9,6.44,59,2.56,50,25,25,50,18,0,46,60,5,4.11,12,11.71,219,84,0,64,47.05,48,98,25,30,74,23.13,27.24,6,47,9,29,7,0,188,171.7,55,47,10,48.68,87,46,37,79,0,0,0,312,60,13,22,25,20,45,25,58,-2,64.5,51,6.49,9.15,395,81,9.35,111,36,29,7,8,48,77,1,36,16,31,11,21,64,15,19,61,20,20.11,17.66,0.86,89,-2.44,17.38,15.71
Charlie Osborne,AFC Totton,784,Left Centre Midfielder,Left Defensive Midfielder,England,20,178,0,0,0.26,0.04,6,0,50,1,,0.29,3,0.51,5,3,0.51,5,0,0,0,3,0.76,11,2.24,4,4,0,100,5,0,14,13,4,3.8,11,9.07,206,91,0.03,77,43.54,45,96,19,23,76,17.62,21.43,8,44,6,57,13,0,179,163.47,59,54,21,46.53,80,45,37,69,1,0,1,252,83,17,14,52,14,30,18,84,0,51.01,32,3.17,3.36,203,93,5.33,65,3,3,0,0,4,7,1,0,0,0,0,23,65,12,31,57,12,20.76,17.57,0.91,99,-3.19,18.95,17.43
